Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References,Customer ID
田中太郎,loyal-customer-2001@example.com,paid,2020-01-01 00:00:00 +0900,fulfilled,2020-01-02 00:00:00 +0900,JPY,8000,500,800,9300,,0,宅配便,2020-01-01 00:00:00 +0900,1,プレミアムギフトボックスセット S,8000,8000,PRD-2001-S,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2021,0,ギフト工房,0,,,,ORD-2021,"loyal,テスト顧客",Low,web,0,消費税 10%,800,,,,,,,,,,,,東京都,東京都,pay-id-2001-2021,,,pay-2001-2021,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-01-14 00:00:00 +0900,fulfilled,2020-01-15 00:00:00 +0900,JPY,35000,800,3500,39300,,0,宅配便,2020-01-14 00:00:00 +0900,1,ラグジュアリーアイテム プラチナ,35000,35000,PRD-2004-PL,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2022,0,高級工房,0,,,,ORD-2022,"loyal,テスト顧客",Low,web,0,消費税 10%,3500,,,,,,,,,,,,東京都,東京都,pay-id-2001-2022,,,pay-2001-2022,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-02-01 00:00:00 +0900,fulfilled,2020-02-02 00:00:00 +0900,JPY,45000,800,4500,50300,,0,宅配便,2020-02-01 00:00:00 +0900,3,プレミアムギフトボックスセット L,15000,15000,PRD-2001-L,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2023,0,ギフト工房,0,,,,ORD-2023,"loyal,テスト顧客",Low,web,0,消費税 10%,4500,,,,,,,,,,,,東京都,東京都,pay-id-2001-2023,,,pay-2001-2023,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-02-21 00:00:00 +0900,fulfilled,2020-02-22 00:00:00 +0900,JPY,24000,800,2400,27200,,0,宅配便,2020-02-21 00:00:00 +0900,3,プレミアムギフトボックスセット S,8000,8000,PRD-2001-S,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2024,0,ギフト工房,0,,,,ORD-2024,"loyal,テスト顧客",Low,web,0,消費税 10%,2400,,,,,,,,,,,,東京都,東京都,pay-id-2001-2024,,,pay-2001-2024,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-03-12 00:00:00 +0900,fulfilled,2020-03-13 00:00:00 +0900,JPY,75000,800,7500,83300,,0,宅配便,2020-03-12 00:00:00 +0900,3,ラグジュアリーアイテム ゴールド,25000,25000,PRD-2004-GO,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2025,0,高級工房,0,,,,ORD-2025,"loyal,テスト顧客",Low,web,0,消費税 10%,7500,,,,,,,,,,,,東京都,東京都,pay-id-2001-2025,,,pay-2001-2025,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-03-25 00:00:00 +0900,fulfilled,2020-03-26 00:00:00 +0900,JPY,45000,800,4500,50300,,0,宅配便,2020-03-25 00:00:00 +0900,3,プレミアムギフトボックスセット L,15000,15000,PRD-2001-L,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2026,0,ギフト工房,0,,,,ORD-2026,"loyal,テスト顧客",Low,web,0,消費税 10%,4500,,,,,,,,,,,,東京都,東京都,pay-id-2001-2026,,,pay-2001-2026,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-04-07 00:00:00 +0900,fulfilled,2020-04-08 00:00:00 +0900,JPY,15000,800,1500,17300,,0,宅配便,2020-04-07 00:00:00 +0900,1,プレミアムギフトボックスセット L,15000,15000,PRD-2001-L,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2027,0,ギフト工房,0,,,,ORD-2027,"loyal,テスト顧客",Low,web,0,消費税 10%,1500,,,,,,,,,,,,東京都,東京都,pay-id-2001-2027,,,pay-2001-2027,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-04-27 00:00:00 +0900,fulfilled,2020-04-28 00:00:00 +0900,JPY,105000,800,10500,116300,,0,宅配便,2020-04-27 00:00:00 +0900,3,ラグジュアリーアイテム プラチナ,35000,35000,PRD-2004-PL,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2028,0,高級工房,0,,,,ORD-2028,"loyal,テスト顧客",Low,web,0,消費税 10%,10500,,,,,,,,,,,,東京都,東京都,pay-id-2001-2028,,,pay-2001-2028,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-05-09 00:00:00 +0900,fulfilled,2020-05-10 00:00:00 +0900,JPY,24000,800,2400,27200,,0,宅配便,2020-05-09 00:00:00 +0900,3,プレミアムギフトボックスセット S,8000,8000,PRD-2001-S,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2029,0,ギフト工房,0,,,,ORD-2029,"loyal,テスト顧客",Low,web,0,消費税 10%,2400,,,,,,,,,,,,東京都,東京都,pay-id-2001-2029,,,pay-2001-2029,CUST-2001
田中太郎,loyal-customer-2001@example.com,paid,2020-05-23 00:00:00 +0900,fulfilled,2020-05-24 00:00:00 +0900,JPY,16000,800,1600,18400,,0,宅配便,2020-05-23 00:00:00 +0900,2,プレミアムギフトボックスセット S,8000,8000,PRD-2001-S,true,true,fulfilled,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,田中太郎,,,,,東京都,,東京都,日本,090-1111-0001,loyalパターン,,Shopify Payments,pay-2001-2030,0,ギフト工房,0,,,,ORD-2030,"loyal,テスト顧客",Low,web,0,消費税 10%,1600,,,,,,,,,,,,東京都,東京都,pay-id-2001-2030,,,pay-2001-2030,CUST-2001
